Subject,RT,KeyPressed,StimulusType,SyntaxCategory,Correct
4,1839,85,Music,Distant-Key,TRUE
4,1562,65,Music,In-Key,TRUE
4,1840,65,Music,Distant-Key,FALSE
4,880,85,Music,Distant-Key,TRUE
4,2574,85,Music,Distant-Key,TRUE
4,2308,65,Music,In-Key,TRUE
4,1664,85,Music,Distant-Key,TRUE
4,1588,85,Music,In-Key,FALSE
4,1724,65,Music,In-Key,TRUE
4,3094,65,Music,In-Key,TRUE
4,4561,65,Music,In-Key,TRUE
4,2814,85,Music,Distant-Key,TRUE
4,2231,85,Music,In-Key,FALSE
4,4314,85,Music,Distant-Key,TRUE
4,3293,85,Music,Distant-Key,TRUE
4,1552,85,Music,Distant-Key,TRUE
4,3213,65,Music,In-Key,TRUE
4,2294,85,Music,Distant-Key,TRUE
4,2052,85,Music,In-Key,FALSE
4,2855,65,Music,In-Key,TRUE
4,2370,85,Music,In-Key,FALSE
4,2099,85,Music,Distant-Key,TRUE
4,3506,85,Music,In-Key,FALSE
4,3377,85,Music,Distant-Key,TRUE
4,2753,85,Music,In-Key,FALSE
4,3985,85,Music,In-Key,FALSE
4,3275,85,Music,Distant-Key,TRUE
4,705,65,Music,In-Key,TRUE
4,2301,65,Sentence,Filler-Ungram,FALSE
4,3159,65,Sentence,Filler-Ungram,FALSE
4,2526,65,Sentence,Grammatical,TRUE
4,1763,65,Sentence,Grammatical,TRUE
4,2076,85,Sentence,Ungrammatical,TRUE
4,4841,85,Sentence,Filler-Gram,FALSE
4,3311,65,Sentence,Grammatical,TRUE
4,2365,65,Sentence,Filler-Ungram,FALSE
4,5960,65,Sentence,Grammatical,TRUE
4,3201,65,Sentence,Filler-Ungram,FALSE
4,2796,65,Sentence,Filler-Ungram,FALSE
4,9180,65,Sentence,Grammatical,TRUE
4,2444,85,Sentence,Filler-Gram,FALSE
4,2246,65,Sentence,Grammatical,TRUE
4,2423,65,Sentence,Filler-Ungram,FALSE
4,1963,85,Sentence,Filler-Gram,FALSE
4,2310,85,Sentence,Ungrammatical,TRUE
4,2468,65,Sentence,Grammatical,TRUE
4,2355,85,Sentence,Ungrammatical,TRUE
4,2313,65,Sentence,Grammatical,TRUE
4,3111,85,Sentence,Ungrammatical,TRUE
4,2378,65,Sentence,Grammatical,TRUE
4,3098,85,Sentence,Filler-Gram,FALSE
4,2541,65,Sentence,Grammatical,TRUE
4,2383,65,Sentence,Grammatical,TRUE
4,2215,65,Sentence,Grammatical,TRUE
4,1881,65,Sentence,Grammatical,TRUE
4,2934,85,Sentence,Ungrammatical,TRUE
4,2887,85,Sentence,Ungrammatical,TRUE
4,1096,65,Sentence,Grammatical,TRUE
4,2783,85,Sentence,Filler-Gram,FALSE
4,2490,65,Sentence,Grammatical,TRUE
4,4104,85,Sentence,Ungrammatical,TRUE
4,1988,65,Music,In-Key,TRUE
4,2412,65,Music,In-Key,TRUE
4,2604,65,Music,In-Key,TRUE
4,2014,65,Music,In-Key,TRUE
4,2581,65,Music,In-Key,TRUE
4,1831,85,Music,Distant-Key,TRUE
4,2120,85,Music,Distant-Key,TRUE
4,2067,65,Music,In-Key,TRUE
4,1813,85,Music,Distant-Key,TRUE
4,2578,85,Music,In-Key,FALSE
4,2764,85,Music,In-Key,FALSE
4,1586,85,Music,Distant-Key,TRUE
4,2338,85,Music,Distant-Key,TRUE
4,1883,65,Music,In-Key,TRUE
4,2362,85,Music,In-Key,FALSE
4,1882,85,Music,Distant-Key,TRUE
4,3101,85,Music,In-Key,FALSE
4,2984,65,Music,In-Key,TRUE
4,5193,85,Music,Distant-Key,TRUE
4,2736,65,Music,In-Key,TRUE
4,2007,85,Music,In-Key,FALSE
4,2522,85,Music,Distant-Key,TRUE
4,2042,85,Music,Distant-Key,TRUE
4,2274,85,Music,Distant-Key,TRUE
4,2148,85,Music,In-Key,FALSE
4,2826,85,Music,Distant-Key,TRUE
4,1859,85,Music,Distant-Key,TRUE
4,2153,85,Music,Distant-Key,TRUE
4,2074,85,Music,In-Key,FALSE
4,2049,85,Music,Distant-Key,TRUE
4,1996,85,Music,In-Key,FALSE
4,1971,85,Music,Distant-Key,TRUE
4,2275,65,Music,In-Key,TRUE
4,2027,85,Music,In-Key,FALSE
4,3228,85,Music,Distant-Key,TRUE
4,2480,85,Music,Distant-Key,TRUE
4,2868,85,Sentence,Ungrammatical,TRUE
4,2177,85,Sentence,Filler-Gram,FALSE
4,2412,65,Sentence,Grammatical,TRUE
4,2619,65,Sentence,Filler-Ungram,FALSE
4,2570,85,Sentence,Ungrammatical,TRUE
4,1731,65,Sentence,Grammatical,TRUE
4,1716,65,Sentence,Filler-Ungram,FALSE
4,2766,85,Sentence,Ungrammatical,TRUE
4,2623,65,Sentence,Filler-Ungram,FALSE
4,1664,85,Sentence,Ungrammatical,TRUE
4,2234,85,Sentence,Ungrammatical,TRUE
4,2451,85,Sentence,Ungrammatical,TRUE
4,3048,65,Sentence,Filler-Ungram,FALSE
4,2131,85,Sentence,Ungrammatical,TRUE
4,1779,65,Sentence,Filler-Ungram,FALSE
4,3425,85,Sentence,Ungrammatical,TRUE
4,1945,65,Sentence,Grammatical,TRUE
4,813,85,Sentence,Ungrammatical,TRUE
4,2239,65,Sentence,Filler-Ungram,FALSE
4,2189,85,Sentence,Filler-Gram,FALSE
4,2550,85,Sentence,Ungrammatical,TRUE
4,2084,85,Sentence,Filler-Gram,FALSE
4,1985,65,Sentence,Grammatical,TRUE
4,2192,65,Sentence,Filler-Ungram,FALSE
4,4113,85,Sentence,Ungrammatical,TRUE
4,2395,85,Sentence,Filler-Gram,FALSE
4,2067,65,Sentence,Grammatical,TRUE
4,3122,65,Sentence,Filler-Ungram,FALSE
4,2051,65,Sentence,Grammatical,TRUE
4,955,85,Sentence,Ungrammatical,TRUE
4,2855,65,Sentence,Grammatical,TRUE
4,2246,65,Sentence,Filler-Ungram,FALSE
4,2378,65,Sentence,Grammatical,TRUE
4,2530,85,Sentence,Filler-Gram,FALSE
5,515,65,Sentence,Grammatical,TRUE
5,431,65,Sentence,Filler-Ungram,FALSE
5,590,85,Sentence,Ungrammatical,TRUE
5,3002,85,Sentence,Ungrammatical,TRUE
5,1072,65,Sentence,Grammatical,TRUE
5,990,65,Sentence,Filler-Ungram,FALSE
5,1166,85,Sentence,Ungrammatical,TRUE
5,1064,85,Sentence,Filler-Gram,FALSE
5,1663,85,Sentence,Ungrammatical,TRUE
5,1051,85,Sentence,Ungrammatical,TRUE
5,1254,85,Sentence,Filler-Gram,FALSE
5,482,85,Sentence,Grammatical,FALSE
5,1494,65,Sentence,Filler-Ungram,FALSE
5,1252,65,Sentence,Filler-Ungram,FALSE
5,1224,85,Sentence,Ungrammatical,TRUE
5,608,65,Sentence,Filler-Ungram,FALSE
5,950,85,Sentence,Filler-Gram,FALSE
5,1876,85,Sentence,Filler-Gram,FALSE
5,1232,65,Sentence,Grammatical,TRUE
5,351,65,Sentence,Grammatical,TRUE
5,1790,65,Sentence,Grammatical,TRUE
5,359,85,Sentence,Filler-Gram,FALSE
5,1147,65,Sentence,Filler-Ungram,FALSE
5,1251,85,Sentence,Ungrammatical,TRUE
5,1771,85,Sentence,Ungrammatical,TRUE
5,1508,65,Sentence,Filler-Ungram,FALSE
5,371,65,Sentence,Grammatical,TRUE
5,1456,65,Sentence,Filler-Ungram,FALSE
5,388,85,Sentence,Ungrammatical,TRUE
5,505,85,Sentence,Grammatical,FALSE
5,1081,65,Sentence,Filler-Ungram,FALSE
5,1081,65,Sentence,Filler-Ungram,FALSE
5,1091,85,Sentence,Ungrammatical,TRUE
5,2468,65,Music,Distant-Key,FALSE
5,513,65,Music,In-Key,TRUE
5,1062,85,Music,Distant-Key,TRUE
5,340,65,Music,In-Key,TRUE
5,4442,85,Music,Distant-Key,TRUE
5,734,65,Music,In-Key,TRUE
5,544,65,Music,In-Key,TRUE
5,1052,65,Music,In-Key,TRUE
5,288,85,Music,Distant-Key,TRUE
5,229,65,Music,In-Key,TRUE
5,497,85,Music,Distant-Key,TRUE
5,1860,65,Music,In-Key,TRUE
5,356,65,Music,In-Key,TRUE
5,283,85,Music,Distant-Key,TRUE
5,977,85,Music,Distant-Key,TRUE
5,645,65,Music,In-Key,TRUE
5,393,85,Music,Distant-Key,TRUE
5,763,65,Music,In-Key,TRUE
5,1500,85,Music,Distant-Key,TRUE
5,522,85,Music,Distant-Key,TRUE
5,420,65,Music,In-Key,TRUE
5,1647,65,Music,In-Key,TRUE
5,1062,65,Music,In-Key,TRUE
5,3844,85,Music,In-Key,FALSE
5,2978,85,Music,In-Key,FALSE
5,1780,65,Music,In-Key,TRUE
5,3225,85,Music,Distant-Key,TRUE
5,1238,85,Music,Distant-Key,TRUE
5,1632,65,Music,Distant-Key,FALSE
5,1522,65,Music,In-Key,TRUE
5,1816,65,Music,Distant-Key,FALSE
5,479,85,Music,Distant-Key,TRUE
5,1451,65,Music,Distant-Key,FALSE
5,817,65,Music,Distant-Key,FALSE
5,2606,65,Music,In-Key,TRUE
5,1298,65,Music,Distant-Key,FALSE
5,803,85,Sentence,Filler-Gram,FALSE
5,363,65,Sentence,Grammatical,TRUE
5,295,85,Sentence,Filler-Ungram,TRUE
5,173,65,Sentence,Grammatical,TRUE
5,116,85,Sentence,Ungrammatical,TRUE
5,588,85,Sentence,Ungrammatical,TRUE
5,387,65,Sentence,Grammatical,TRUE
5,114,85,Sentence,Ungrammatical,TRUE
5,332,65,Sentence,Filler-Ungram,FALSE
