Subject,RT,KeyPressed,StimulusType,SyntaxCategory,Correct
7,1083,85,Sentence,Ungrammatical,TRUE
7,334,65,Sentence,Filler-Ungram,FALSE
7,3583,85,Sentence,Filler-Gram,FALSE
7,415,65,Sentence,Grammatical,TRUE
7,893,85,Sentence,Filler-Gram,FALSE
7,1546,85,Sentence,Ungrammatical,TRUE
7,1007,65,Sentence,Grammatical,TRUE
7,2758,65,Sentence,Filler-Gram,TRUE
7,1120,85,Sentence,Filler-Ungram,TRUE
7,376,65,Sentence,Filler-Ungram,FALSE
7,347,85,Sentence,Filler-Gram,FALSE
7,372,65,Sentence,Filler-Ungram,FALSE
7,306,85,Sentence,Filler-Gram,FALSE
7,292,85,Sentence,Ungrammatical,TRUE
7,349,85,Sentence,Filler-Gram,FALSE
7,757,85,Sentence,Grammatical,FALSE
7,673,65,Sentence,Grammatical,TRUE
7,993,65,Sentence,Filler-Ungram,FALSE
7,2362,65,Sentence,Grammatical,TRUE
